textPayload,insertId,resource.type,resource.labels.task_name,resource.labels.job_id,resource.labels.project_id,timestamp,severity,logName,receiveTimestamp,jsonPayload.pathname,jsonPayload.created,jsonPayload.lineno,jsonPayload.message,jsonPayload.levelname,"labels.""compute.googleapis.com/zone""","labels.""ml.googleapis.com/job_id/log_area""","labels.""compute.googleapis.com/resource_name""","labels.""ml.googleapis.com/trial_id""","labels.""compute.googleapis.com/resource_id"""
,4gec7ufu0k737,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T01:41:35.956213951Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T01:41:39.432473178Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559353295.956214,48,test RMSE = 1.41,INFO,us-east1-c,tensorflow,cmle-training-14625704360736381803,379,3823048321906010584
,1f2ggiufpfpt9b,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T01:34:32.574692964Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T01:34:36.963964810Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559352872.574693,48,test RMSE = 1.05,INFO,us-east1-c,tensorflow,cmle-training-12170802892810068008,378,5241350194965801850
,xuv5nifpe4957,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T01:27:30.222976922Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T01:27:34.048075132Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559352450.222977,48,test RMSE = 1.03,INFO,us-east1-c,tensorflow,cmle-training-8518405707166467244,377,4408691516719787292
,ujugffpbo6t9,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T01:20:23.414583921Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T01:20:27.999723939Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559352023.414584,48,test RMSE = 1.02,INFO,us-east1-c,tensorflow,cmle-training-12387404405574575738,376,2185468315183115487
,1nnor97fu3cycp,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T01:06:44.391041994Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T01:06:47.718454806Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559351204.391042,48,test RMSE = 1.03,INFO,us-east1-c,tensorflow,cmle-training-12801708121443582686,374,2299607582175424998
,1mu73y9fop5vv7,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T00:59:47.943886041Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T00:59:51.195404650Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559350787.943886,48,test RMSE = 1.24,INFO,us-east1-c,tensorflow,cmle-training-7488305483019728347,373,6408842423368971145
,d1n30yfrtw6xl,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T00:52:50.350405931Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T00:52:53.645476177Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559350370.350406,48,test RMSE = 1.02,INFO,us-east1-c,tensorflow,cmle-training-14303966064147640020,372,5138235318748345645
,19ieogbfoqs85u,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T00:22:22.782486915Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T00:22:25.852607532Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559348542.782487,48,test RMSE = 1.03,INFO,us-east1-c,tensorflow,cmle-training-1218084318149345882,368,3962275506486540897
,1fm5ao8fto7o4i,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T00:14:37.776990890Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T00:14:42.987274029Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559348077.776991,48,test RMSE = 1.03,INFO,us-east1-c,tensorflow,cmle-training-12818161770276706778,367,5147224427600837668
,12utsqofremk8s,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T00:07:08.914995908Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T00:07:12.493362353Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559347628.914996,48,test RMSE = 1.03,INFO,us-east1-c,tensorflow,cmle-training-12094441103705739182,366,690932915808010216
,461yosftelfr1,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T23:59:35.794106006Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T23:59:39.741555670Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559347175.794106,48,test RMSE = 1.17,INFO,us-east1-c,tensorflow,cmle-training-14471143912864816292,365,8417708042000007594
,1gfvty8frcplow,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T23:52:37.362016916Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T23:52:40.449586983Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559346757.362017,48,test RMSE = 1.07,INFO,us-east1-c,tensorflow,cmle-training-12726755566094822096,364,6501613192976532300
,i1fc1qfslh96h,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T23:30:03.258713960Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T23:30:06.882631941Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559345403.258714,48,test RMSE = 1.04,INFO,us-east1-c,tensorflow,cmle-training-17333410197859222992,361,6126391299376154297
,lxo86efqubx8z,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T23:22:38.296864032Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T23:22:41.174534036Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559344958.296864,48,test RMSE = 1.47,INFO,us-east1-c,tensorflow,cmle-training-687041729310268875,360,630284189427304540
,lnk1f4f4wfwc8,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T23:15:28.364577054Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T23:15:33.527611733Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559344528.364577,48,test RMSE = 1.04,INFO,us-east1-c,tensorflow,cmle-training-11903680730442262082,359,114805839513782812
,lddjmcfnstl4z,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T22:53:30.799813985Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T22:53:35.417829267Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559343210.799814,48,test RMSE = 1.04,INFO,us-east1-c,tensorflow,cmle-training-8311124294630958646,356,8877214433946636586
,5ad42vfnjfrmu,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T22:46:00.760432958Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T22:46:03.861705090Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559342760.760433,48,test RMSE = 1.26,INFO,us-east1-c,tensorflow,cmle-training-7472476718748327753,355,5977577266754622224
,c7lnxffct8x70,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T21:47:07.870748043Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T21:47:13.032946485Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559339227.870748,48,test RMSE = 1.13,INFO,us-east1-c,tensorflow,cmle-training-14158423169127244262,347,3646916201337855705
,5ts425fsgrrua,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T21:39:27.352109909Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T21:39:31.704042306Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559338767.35211,48,test RMSE = 1.03,INFO,us-east1-c,tensorflow,cmle-training-6975596506153629622,346,2762476250614997121
,1f2ggiufmvyqxj,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T21:31:53.392447948Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T21:31:56.925142304Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559338313.392448,48,test RMSE = 1.18,INFO,us-east1-c,tensorflow,cmle-training-14905068814127658526,345,959562427020354117
,1nnor97frfuzos,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T21:24:45.448162078Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T21:24:48.232314546Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559337885.448162,48,test RMSE = 1.19,INFO,us-east1-c,tensorflow,cmle-training-5316234300762664730,344,5674467594881213929
